,Name,Name.1,Run 1,sex,rider_country,race_country,Date,track_name,rider_country_new,home_race,run_time,race_id,percent_time_back,best_results,worst_results
415,Lisa SHER,Lisa SHER,6:08.827,Women,American,France,10th Aug 1996,Les Gets,USA,0,6.147116666666666,Les Gets10th Aug 1996,6.557054987851396,1,0
416,Giovanna BONAZZI,Giovanna BONAZZI,6:10.598,Women,Italian,France,10th Aug 1996,Les Gets,Italy,0,6.176633333333333,Les Gets10th Aug 1996,7.068710979369075,0,0
417,Missy GIOVE,Missy GIOVE,6:13.029,Women,American,France,10th Aug 1996,Les Gets,USA,0,6.21715,Les Gets10th Aug 1996,7.771046222384004,0,1
418,Marla STREB,Marla STREB,6:13.9610,Women,American,France,10th Aug 1996,Les Gets,USA,0,6.232683333333333,Les Gets10th Aug 1996,8.04030843813468,0,0
419,Tomas MISSER,Tomas MISSER,4:48.271,Men,Spanish,Canada,15th Jun 1996,Mont-Sainte-Anne,Spain,0,4.804516666666666,Mont-Sainte-Anne15th Jun 1996,0.0,1,0
420,Mike KING (pro),Mike KING (pro),4:50.412,Men,American,Canada,15th Jun 1996,Mont-Sainte-Anne,USA,0,4.8402,Mont-Sainte-Anne15th Jun 1996,0.7427039140253555,1,0
421,Nicolas VOUILLOZ,Nicolas VOUILLOZ,4:51.653,Men,French,Canada,15th Jun 1996,Mont-Sainte-Anne,France,0,4.860883333333334,Mont-Sainte-Anne15th Jun 1996,1.1732016054337935,0,0
422,Corrado HERIN,Corrado HERIN,4:52.314,Men,Italian,Canada,15th Jun 1996,Mont-Sainte-Anne,Italy,0,4.8719,Mont-Sainte-Anne15th Jun 1996,1.4024997311557597,1,0
423,Michael RONNING,Michael RONNING,4:53.295,Men,Australian,Canada,15th Jun 1996,Mont-Sainte-Anne,Australia,0,4.88825,Mont-Sainte-Anne15th Jun 1996,1.7428045138081938,1,0
424,Gianluca BONANOMI,Gianluca BONANOMI,4:54.656,Men,Italian,Canada,15th Jun 1996,Mont-Sainte-Anne,Italy,0,4.910933333333333,Mont-Sainte-Anne15th Jun 1996,2.214929701565538,1,0
425,Steve PEAT,Steve PEAT,4:56.137,Men,British,Canada,15th Jun 1996,Mont-Sainte-Anne,UK,0,4.935616666666666,Mont-Sainte-Anne15th Jun 1996,2.72868238567181,0,0
426,Cyril LAGNEAU,Cyril LAGNEAU,4:56.438,Men,French,Canada,15th Jun 1996,Mont-Sainte-Anne,France,0,4.940633333333333,Mont-Sainte-Anne15th Jun 1996,2.833098022347036,1,0
427,Rob WARNER,Rob WARNER,4:58.209,Men,British,Canada,15th Jun 1996,Mont-Sainte-Anne,UK,0,4.97015,Mont-Sainte-Anne15th Jun 1996,3.447450489296533,1,0
